binned_coordinates,updated_type,updated_subtype,hour,alert_count,binned_longitude,binned_latitude
"(-87.63, 41.81)",Accident,Major,09:00,11,-87.63,41.81
"(-87.64, 41.86)",Accident,Major,09:00,5,-87.64,41.86
"(-87.74, 41.87)",Accident,Major,09:00,3,-87.74,41.87
"(-87.73, 41.87)",Accident,Major,09:00,3,-87.73,41.87
"(-87.64, 41.85)",Accident,Major,09:00,3,-87.64,41.85
"(-87.63, 41.79)",Accident,Major,09:00,3,-87.63,41.79
"(-87.62, 41.72)",Accident,Major,09:00,3,-87.62,41.72
"(-87.6, 41.68)",Accident,Major,09:00,3,-87.6,41.68
"(-87.73, 41.95)",Accident,Major,09:00,2,-87.73,41.95
"(-87.72, 41.82)",Accident,Major,09:00,2,-87.72,41.82
"(-87.64, 41.85)",Accident,Major,10:00,6,-87.64,41.85
"(-87.65, 41.88)",Accident,Major,10:00,5,-87.65,41.88
"(-87.62, 41.73)",Accident,Major,10:00,5,-87.62,41.73
"(-87.71, 41.94)",Accident,Major,10:00,4,-87.71,41.94
"(-87.66, 41.84)",Accident,Major,10:00,4,-87.66,41.84
"(-87.63, 41.81)",Accident,Major,10:00,4,-87.63,41.81
"(-87.8, 41.98)",Accident,Major,10:00,3,-87.8,41.98
"(-87.7, 41.83)",Accident,Major,10:00,3,-87.7,41.83
"(-87.67, 41.92)",Accident,Major,10:00,3,-87.67,41.92
"(-87.66, 41.9)",Accident,Major,10:00,3,-87.66,41.9
"(-87.63, 41.84)",Accident,Major,11:00,9,-87.63,41.84
"(-87.63, 41.82)",Accident,Major,11:00,8,-87.63,41.82
"(-87.76, 41.97)",Accident,Major,11:00,7,-87.76,41.97
"(-87.7, 41.88)",Accident,Major,11:00,7,-87.7,41.88
"(-87.64, 41.85)",Accident,Major,11:00,7,-87.64,41.85
"(-87.64, 41.86)",Accident,Major,11:00,6,-87.64,41.86
"(-87.64, 41.87)",Accident,Major,11:00,6,-87.64,41.87
"(-87.79, 41.98)",Accident,Major,11:00,5,-87.79,41.98
"(-87.74, 41.82)",Accident,Major,11:00,5,-87.74,41.82
"(-87.74, 41.87)",Accident,Major,11:00,5,-87.74,41.87
"(-87.64, 41.87)",Accident,Major,12:00,7,-87.64,41.87
